publisher,short_publisher,data_name,catalogue_no,publisher_url,data_url,last_updated,type
Australian Bureau of Statistics,ABS,Australian Demographic Statistics,"3101.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/3101.0,NA,time series
Australian Bureau of Statistics,ABS,Overseas Arrivals and Departures,"3401.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/3401.0,NA,time series
Australian Bureau of Statistics,ABS,Australian System of National Accounts,"5204.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/5204.0,NA,time series
Australian Bureau of Statistics,ABS,"National Accounts: National Income, Expenditure and Product","5206.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/5206.0,NA,time series
Australian Bureau of Statistics,ABS,National Accounts: Finance and Wealth,"5232.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/5232.0,NA,time series
Australian Bureau of Statistics,ABS,Balance of Payments and International Investment,"5302.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/5302.0,NA,time series
Australian Bureau of Statistics,ABS,International Trade in Goods and Services,"5368.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/5368.0,NA,time series
Australian Bureau of Statistics,ABS,Labour Force,"6202.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/6202.0,NA,time series
Australian Bureau of Statistics,ABS,Average Weekly Earnings,"6302.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/6302.0,NA,time series
Australian Bureau of Statistics,ABS,Employee Earnings and Hours,"6306.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/6306.0,NA,time series
Australian Bureau of Statistics,ABS,Wage Price Indexes,"6345.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/6345.0,NA,time series
Australian Bureau of Statistics,ABS,Consumer Price Index,"6401.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/6401.0,NA,time series
Australian Bureau of Statistics,ABS,Producer Price Indexes,"6427.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/6427.0,NA,time series
Australian Bureau of Statistics,ABS,Retail Trade,"8501.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/8501.0,NA,time series
Australian Bureau of Statistics,ABS,Engineering Construction,"8762.0",http://www.abs.gov.au/,http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/8762.0,NA,time series
Reserve Bank of Australia,RBA,RBA Statistics,,http://www.rba.gov.au/,http://www.rba.gov.au/statistics/tables/index.html,NA,time series
Australian Bureau of Statistics,ABS,Australian Historical Population Statistics,"3105.0.65.001",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/3105.0.65.001,NA,panel
Australian Bureau of Statistics,ABS,"Population Projections, Australia","3222.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/3222.0,NA,panel
Australian Bureau of Statistics,ABS,"Regional Population Growth, Australia","3218.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/3218.0,NA,panel
Australian Bureau of Statistics,ABS,"Regional Population Growth, Australia","3236.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/3218.0,NA,panel
Australian Bureau of Statistics,ABS,"Value of Principal Agricultural Commodities Produced, Australia","7501.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/7501.0,NA,summary
Australian Bureau of Statistics,ABS,"Value of Agricultural Commodities Produced, Australia","7503.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/7503.0,NA,summary
Australian Bureau of Statistics,ABS,"Principal Agricultural Commodities, Australia, Preliminary","7111.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/7111.0,NA,summary
Australian Bureau of Statistics,ABS,"Agricultural Commodities, Australia","7121.0",http://www.abs.gov.au/,http://abs.gov.au/AUSSTATS/abs@.nsf/mf/7121.0,NA,summary
